127.0.0.1 - - [19/Mar/2025:10:17:56 +0530] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:17:57 +0530] "GET /vertical_farming/ HTTP/1.1" 200 10153
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:17:58 +0530] "GET /vertical_farming/index/css/style-starter.css HTTP/1.1" 200 321894
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:17:58 +0530] "GET /vertical_farming/index/images/vertical-farm1.jpg HTTP/1.1" 200 87210
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:17:58 +0530] "GET /vertical_farming/index/images/vertical-farm2.jpg HTTP/1.1" 200 94069
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:17:58 +0530] "GET /vertical_farming/index/js/jquery.min.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:17:58 +0530] "GET /vertical_farming/assets/js/jquery-3.3.1.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:17:58 +0530] "GET /vertical_farming/index/js/modernizr-2.6.2.min.js HTTP/1.1" 200 15414
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:17:58 +0530] "GET /vertical_farming/index/js/jquery.zoomslider.min.js HTTP/1.1" 200 4760
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:17:58 +0530] "GET /vertical_farming/index/js/theme-change.js HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:17:58 +0530] "GET /vertical_farming/index/js/bootstrap.min.js HTTP/1.1" 200 60091
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:17:59 +0530] "GET /vertical_farming/index/images/bg3.jpg HTTP/1.1" 200 116244
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:18:00 +0530] "GET /vertical_farming/index/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 80252
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:18:00 +0530] "GET /vertical_farming/index/images/banner1.jpg HTTP/1.1" 200 138513
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:18:00 +0530] "GET /vertical_farming/index/images/banner2.jpg HTTP/1.1" 200 548616
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:18:00 +0530] "GET /vertical_farming/index/images/banner4.jpg HTTP/1.1" 200 172030
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:18:00 +0530] "GET /vertical_farming/index/images/banner3.jpg HTTP/1.1" 200 545241
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:18:00 +0530] "GET /vertical_farming/index/images/dots.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:18:00 +0530] "GET /favicon.ico HTTP/1.1" 404 1087
